year,election,district,winner,winner_party,winner_inc,winner_pct,runner_up,runner_up_party,runner_up_inc,runner_up_pct,winning_margin,flg_5,flg_10
2012,Democratic Primary,35,Longoria,D,N,55.15,Ruiz,D,N,44.85,10.3,FALSE,FALSE
2012,Democratic Primary,37,Oliveira,D,Y,62.62,Dominguez,D,N,37.38,25.24,FALSE,FALSE
2012,Democratic Primary,39,Martinez,D,Y,83.88,Campos,D,N,16.12,67.76,FALSE,FALSE
2012,Democratic Primary,40,Canales,D,N,30.46,Hernandez,D,N,26.21,4.25,TRUE,TRUE
2012,Democratic Primary,43,Gonzalez Toureilles,D,N,70.59,Zamora,D,N,29.41,41.18,FALSE,FALSE
2012,Democratic Primary,74,Nevarez,D,N,53.82,Garza,D,N,28.28,25.54,FALSE,FALSE
2012,Democratic Primary,75,Gonzalez,D,N,52.07,Enriquez,D,N,36.05,16.02,FALSE,FALSE
2012,Democratic Primary,77,Marquez,D,Y,62.07,Barraza,D,N,37.93,24.14,FALSE,FALSE
2012,Democratic Primary,80,King,D,Y,59.67,Garza,D,N,40.33,19.34,FALSE,FALSE
2012,Democratic Primary,90,Burnam,D,Y,51.99,Vasquez,D,N,48.01,3.98,TRUE,TRUE
2012,Democratic Primary,95,Collier,D,N,48.19,Gaines,D,N,38.44,9.75,FALSE,TRUE
2012,Democratic Primary,101,Turner,D,N,53.08,Pierson,D,N,33.83,19.25,FALSE,FALSE
2012,Democratic Primary,110,Rose,D,N,62.72,Davis,D,N,24.37,38.35,FALSE,FALSE
2012,Democratic Primary,117,Cortez,D,N,35.07,Torres,D,N,33.99,1.08,TRUE,TRUE
2012,Democratic Primary,125,Rodriguez,D,N,66.82,Herrera,D,N,33.18,33.64,FALSE,FALSE
2012,Democratic Primary,131,Allen,D,Y,59.4,Adams,D,N,40.6,18.8,FALSE,FALSE
2012,Democratic Primary,137,Wu,D,N,43.14,Smith,D,N,24.05,19.09,FALSE,FALSE
2012,Democratic Primary,144,Perez,D,N,52.18,Ybarra,D,N,26.84,25.34,FALSE,FALSE
2012,Democratic Primary,146,Miles,D,Y,57.57,Edwards,D,N,42.43,15.14,FALSE,FALSE
2012,Democratic Primary,147,Coleman,D,Y,87.43,Hill,D,N,12.57,74.86,FALSE,FALSE
2012,Democratic Runoff,40,Canales,D,N,52.96,Hernandez,D,N,47.04,5.92,FALSE,TRUE
2012,Democratic Runoff,95,Collier,D,N,59.96,Gaines,D,N,40.04,19.92,FALSE,FALSE
2012,Democratic Runoff,117,Cortez,D,N,56.96,Torres,D,N,43.04,13.92,FALSE,FALSE
2012,Democratic Runoff,137,Wu,D,N,61.54,Smith,D,N,38.46,23.08,FALSE,FALSE
2012,General,1,Lavender,R,Y,82.65,Eason,L,N,17.35,65.3,FALSE,FALSE
2012,General,6,Schaefer,R,N,88.76,Parkes,L,N,11.24,77.52,FALSE,FALSE
2012,General,8,Cook,R,Y,72.96,Morgan,D,N,27.04,45.92,FALSE,FALSE
2012,General,12,Kacal,R,N,56.89,Stem,D,N,43.11,13.78,FALSE,FALSE
2012,General,14,Raney,R,Y,60.15,LeUnes,D,N,36.22,23.93,FALSE,FALSE
2012,General,15,Toth,R,N,86.64,Russell,L,N,13.36,73.28,FALSE,FALSE
2012,General,17,Kleinschmidt,R,Y,62.24,Guerra,D,N,37.76,24.48,FALSE,FALSE
2012,General,23,Eiland,D,Y,53.93,Faircloth,R,N,46.07,7.86,FALSE,TRUE
2012,General,24,Bonnen,R,N,73.28,Cates,D,N,26.72,46.56,FALSE,FALSE
2012,General,26,Miller,R,N,62.97,Nguyen,D,N,37.03,25.94,FALSE,FALSE
2012,General,27,Reynolds,D,Y,68.96,Allfrey,R,N,29.54,39.42,FALSE,FALSE
2012,General,29,Thompson,R,N,65.52,Blatt,D,N,34.48,31.04,FALSE,FALSE
2012,General,30,Morrison,R,Y,68.33,Hernandez,D,N,31.67,36.66,FALSE,FALSE
2012,General,31,Guillen,D,Y,66.29,Matthews,R,N,33.71,32.58,FALSE,FALSE
2012,General,33,Turner,R,N,85.34,Carrasco,L,N,14.66,70.68,FALSE,FALSE
2012,General,34,Herrero,D,N,57.17,Scott,R,Y,42.83,14.34,FALSE,FALSE
2012,General,38,Lucio,D,Y,70.76,Torres,R,N,25.21,45.55,FALSE,FALSE
2012,General,39,Martinez,D,Y,77.64,De Los Santos,R,N,22.36,55.28,FALSE,FALSE
