year,election,district,winner,winner_party,winner_inc,winner_pct,runner_up,runner_up_party,runner_up_inc,runner_up_pct,winning_margin,flg_5,flg_10
2012,General,41,Guerra,D,Y,61.73,Martinez,R,N,38.27,23.46,FALSE,FALSE
2012,General,43,Lozano,R,Y,51.55,Gonzalez Toureilles,D,N,48.45,3.1,TRUE,TRUE
2012,General,45,Isaac,R,Y,53.63,Adams,D,N,42.39,11.24,FALSE,FALSE
2012,General,46,Dukes,D,Y,86.45,Fernandez,L,N,13.55,72.9,FALSE,FALSE
2012,General,47,Workman,R,Y,58.09,Frandsen,D,N,36.93,21.16,FALSE,FALSE
2012,General,48,Howard,D,Y,59.2,Thomas,R,N,35.54,23.66,FALSE,FALSE
2012,General,49,Naishtat,D,Y,82.73,Phillips,L,N,17.27,65.46,FALSE,FALSE
2012,General,51,Rodriguez,D,Y,88.17,DiBianca,L,N,11.83,76.34,FALSE,FALSE
2012,General,52,Gonzales,R,Y,70.28,Simmons,L,N,29.72,40.56,FALSE,FALSE
2012,General,54,Aycock,R,Y,57.51,Brown,D,N,42.49,15.02,FALSE,FALSE
2012,General,56,Anderson,R,Y,79.47,Snider,L,N,20.53,58.94,FALSE,FALSE
2012,General,59,Sheffield,R,N,78.23,Norris,D,N,21.77,56.46,FALSE,FALSE
2012,General,61,King,R,Y,88.91,Britt,G,N,11.09,77.82,FALSE,FALSE
2012,General,62,Phillips,R,Y,75.68,Perez,D,N,24.32,51.36,FALSE,FALSE
2012,General,63,Parker,R,Y,85.31,Hermann,L,N,14.69,70.62,FALSE,FALSE
2012,General,64,Crownover,R,Y,61.1,Brown,D,N,34.39,26.71,FALSE,FALSE
2012,General,65,Simmons,R,N,59.12,Brown,D,N,38.58,20.54,FALSE,FALSE
2012,General,69,Frank,R,N,87.01,Brown,L,N,12.99,74.02,FALSE,FALSE
2012,General,73,Miller,R,Y,88.2,Black,L,N,11.8,76.4,FALSE,FALSE
2012,General,74,Nevarez,D,N,60.4,Kincaid,R,N,39.6,20.8,FALSE,FALSE
2012,General,78,Moody,D,N,53.83,Margo,R,Y,46.17,7.66,FALSE,TRUE
2012,General,84,Frullo,R,Y,82.58,Lamb-Vines,G,N,17.42,65.16,FALSE,FALSE
2012,General,85,Stephenson,R,N,58.35,Olivo,D,N,41.65,16.7,FALSE,FALSE
2012,General,87,Price,R,Y,77.29,Bosquez,D,N,22.71,54.58,FALSE,FALSE
2012,General,92,Stickland,R,N,80.67,Fatzinger,L,N,19.33,61.34,FALSE,FALSE
2012,General,93,Krause,R,N,58.95,Hardin,D,N,37.52,21.43,FALSE,FALSE
2012,General,94,Patrick,R,Y,82.21,Eyerly,L,N,17.79,64.42,FALSE,FALSE
2012,General,95,Collier,D,N,77.36,Mitchell,R,N,22.64,54.72,FALSE,FALSE
2012,General,96,Zedler,R,Y,80.53,Koch,L,N,19.47,61.06,FALSE,FALSE
2012,General,97,Goldman,R,N,59.43,Grassia,D,N,37.65,21.78,FALSE,FALSE
2012,General,98,Capriglione,R,N,85.58,Goolsby,L,N,14.42,71.16,FALSE,FALSE
2012,General,99,Geren,R,Y,66.17,McClure,D,N,30.21,35.96,FALSE,FALSE
2012,General,101,Turner,D,N,87.9,Nulsen,L,N,12.1,75.8,FALSE,FALSE
2012,General,102,Carter,R,Y,57.13,Hancock,D,N,42.87,14.26,FALSE,FALSE
2012,General,105,Harper-Brown,R,Y,50.07,Robbins,D,N,48.26,1.81,TRUE,TRUE
2012,General,106,Fallon,R,N,83.17,Caston,L,N,16.83,66.34,FALSE,FALSE
2012,General,107,Sheets,R,Y,50.84,Miklos,D,N,49.16,1.68,TRUE,TRUE
2012,General,108,Branch,R,Y,79.69,Woods,L,N,20.31,59.38,FALSE,FALSE
2012,General,109,Giddings,D,Y,93.59,Jackson,L,N,6.41,87.18,FALSE,FALSE
2012,General,113,Burkett,R,N,80.94,Sarlay,G,N,19.06,61.88,FALSE,FALSE
2012,General,114,Villalba,R,N,54.15,Kent,D,N,45.85,8.3,FALSE,TRUE
2012,General,115,Ratliff,R,N,55.31,Fabishak,D,N,41.43,13.88,FALSE,FALSE
2012,General,117,Cortez,D,N,53.82,Garza,R,Y,46.18,7.64,FALSE,TRUE
2012,General,118,Farias,D,Y,59.85,Casias,R,N,40.15,19.7,FALSE,FALSE
2012,General,119,Gutierrez,D,Y,61.89,Campos,R,N,38.11,23.78,FALSE,FALSE
2012,General,120,McClendon,D,Y,87.89,Fox,G,N,12.11,75.78,FALSE,FALSE
2012,General,121,Straus,R,Y,80.24,Thomas,L,N,19.76,60.48,FALSE,FALSE
2012,General,123,Villarreal,D,Y,87.52,Robinson,G,N,12.48,75.04,FALSE,FALSE
2012,General,124,Menendez,D,Y,84.93,Gonzales,G,N,15.07,69.86,FALSE,FALSE
2012,General,125,Rodriguez,D,N,61.19,Perez Jackson,R,N,37.11,24.08,FALSE,FALSE
2012,General,127,Huberty,R,Y,70.21,Pogue,D,N,29.79,40.42,FALSE,FALSE
2012,General,130,Fletcher,R,Y,90.15,Browning,G,N,9.85,80.3,FALSE,FALSE
2012,General,131,Allen,D,Y,94.5,Montestruc,L,N,3.39,91.11,FALSE,FALSE
2012,General,132,Callegari,R,Y,80.69,Kurtz,L,N,19.31,61.38,FALSE,FALSE
2012,General,133,Murphy,R,Y,84.97,LaFleur,L,N,15.03,69.94,FALSE,FALSE
2012,General,134,Davis,R,Y,54.64,Johnson,D,N,45.36,9.28,FALSE,TRUE
2012,General,135,Elkins,R,Y,60.36,Morgan,D,N,39.64,20.72,FALSE,FALSE
2012,General,136,Dale,R,N,53.06,Stillwell,D,N,40.72,12.34,FALSE,FALSE
2012,General,137,Wu,D,N,65.76,Khan,R,N,34.24,31.52,FALSE,FALSE
2012,General,138,Bohac,R,Y,80.45,Coughran,L,N,19.55,60.9,FALSE,FALSE
2012,General,139,Turner,D,Y,77.08,Brocato,R,N,22.92,54.16,FALSE,FALSE
2012,General,141,Thompson,D,Y,87.85,Bunch,R,N,12.15,75.7,FALSE,FALSE
2012,General,143,Hernandez Luna,D,Y,72.94,Weiskopf,R,N,27.06,45.88,FALSE,FALSE
2012,General,144,Perez,D,N,52.07,Pineda,R,N,45.54,6.53,FALSE,TRUE
2012,General,147,Coleman,D,Y,92.21,Shafto,G,N,7.79,84.42,FALSE,FALSE
2012,General,148,Farrar,D,Y,85.96,Cooper,G,N,14.04,71.92,FALSE,FALSE
2012,General,149,Vo,D,Y,61.12,Williams,R,N,38.88,22.24,FALSE,FALSE
2012,General,150,Riddle,R,Y,69.68,Neal,D,N,30.32,39.36,FALSE,FALSE
2012,Republican Primary,2,Flynn,R,Y,59.52,Alexander,R,N,40.48,19.04,FALSE,FALSE
2012,Republican Primary,3,Bell,R,N,56.9,Bagley,R,N,26.36,30.54,FALSE,FALSE
2012,Republican Primary,4,Gooden,R,Y,54.44,Spitzer,R,N,45.56,8.88,FALSE,TRUE
2012,Republican Primary,5,Hughes,R,Y,77.66,Lookadoo,R,N,22.34,55.32,FALSE,FALSE
2012,Republican Primary,6,Schaefer,R,N,57.68,Berman,R,Y,42.32,15.36,FALSE,FALSE
2012,Republican Primary,7,Simpson,R,Y,61.64,Merritt,R,N,38.36,23.28,FALSE,FALSE
2012,Republican Primary,8,Cook,R,Y,62,Vickery,R,N,38,24,FALSE,FALSE
2012,Republican Primary,9,Paddie,R,N,52.17,Christian,R,Y,47.83,4.34,TRUE,TRUE
2012,Republican Primary,10,Pitts,R,Y,57.55,Fabby,R,N,26.96,30.59,FALSE,FALSE
2012,Republican Primary,11,Hopson,R,Y,47.13,Clardy,R,N,46.31,0.82,TRUE,TRUE
2012,Republican Primary,12,Anderson,R,N,29.54,Kacal,R,N,23.76,5.78,FALSE,TRUE
2012,Republican Primary,14,Raney,R,Y,81.48,Hawkins,R,N,18.52,62.96,FALSE,FALSE
2012,Republican Primary,15,Toth,R,N,56.48,Eissler,R,Y,43.52,12.96,FALSE,FALSE
2012,Republican Primary,18,Otto,R,Y,66.55,Stovall,R,N,33.45,33.1,FALSE,FALSE
2012,Republican Primary,19,White,R,Y,54.51,Hamilton,R,Y,45.49,9.02,FALSE,TRUE
2012,Republican Primary,21,Ritter,R,Y,72.72,Miller,R,N,27.28,45.44,FALSE,FALSE
2012,Republican Primary,23,Faircloth,R,N,38.62,Wallace,R,N,31.63,6.99,FALSE,TRUE
2012,Republican Primary,24,Bonnen,R,N,45.06,Sitton,R,N,32.65,12.41,FALSE,FALSE
2012,Republican Primary,26,Miller,R,N,52.39,Chaumette,R,N,26.89,25.5,FALSE,FALSE
2012,Republican Primary,29,Thompson,R,N,67.05,Rosenthal-Ritter,R,N,32.95,34.1,FALSE,FALSE
2012,Republican Primary,33,Turner,R,N,58.34,Pruitt,R,N,41.66,16.68,FALSE,FALSE
2012,Republican Primary,41,Martinez,R,N,54.11,Vera,R,N,45.89,8.22,FALSE,TRUE
2012,Republican Primary,43,Lozano,R,Y,44.2,Wilson,R,N,43.75,0.45,TRUE,TRUE
2012,Republican Primary,47,Workman,R,Y,66.85,Downton,R,N,33.15,33.7,FALSE,FALSE
2012,Republican Primary,53,Hilderbran,R,Y,72.21,Wise,R,N,27.79,44.42,FALSE,FALSE
2012,Republican Primary,55,Sheffield,R,Y,57.39,Alaniz,R,N,42.61,14.78,FALSE,FALSE
2012,Republican Primary,56,Anderson,R,Y,52.36,DeCluitt,R,N,37.89,14.47,FALSE,FALSE
2012,Republican Primary,57,Ashby,R,N,58.11,Beck,R,Y,41.89,16.22,FALSE,FALSE
2012,Republican Primary,59,Miller,R,Y,42.48,Sheffield,R,N,41.5,0.98,TRUE,TRUE
2012,Republican Primary,64,Crownover,R,Y,69.36,Brucia,R,N,30.64,38.72,FALSE,FALSE
2012,Republican Primary,65,Simmons,R,N,61.6,Loerwald,R,N,22.37,39.23,FALSE,FALSE
2012,Republican Primary,67,Cole,R,N,32.29,Leach,R,N,30.22,2.07,TRUE,TRUE
2012,Republican Primary,68,McKnight,R,N,49.01,Springer,R,N,34.51,14.5,FALSE,FALSE
2012,Republican Primary,70,Sanford,R,N,60.62,Wilson,R,N,39.38,21.24,FALSE,FALSE
2012,Republican Primary,73,Miller,R,Y,75.1,Smith,R,N,24.9,50.2,FALSE,FALSE
2012,Republican Primary,74,Kincaid,R,N,67.16,Alcala,R,N,32.84,34.32,FALSE,FALSE
2012,Republican Primary,83,Perry,R,N,71.1,Jones,R,N,28.9,42.2,FALSE,FALSE
2012,Republican Primary,85,Stephenson,R,N,53.3,Duggan,R,N,46.7,6.6,FALSE,TRUE
2012,Republican Primary,88,Landtroop,R,Y,34.12,King,R,N,30.43,3.69,TRUE,TRUE
2012,Republican Primary,91,Sapp,R,N,39.85,Klick,R,N,31.93,7.92,FALSE,TRUE
2012,Republican Primary,92,Stickland,R,N,60.18,Fisher,R,N,39.82,20.36,FALSE,FALSE
2012,Republican Primary,93,Krause,R,N,50.7,Nash,R,Y,37.6,13.1,FALSE,FALSE
2012,Republican Primary,94,Patrick,R,Y,74.73,Lanza,R,N,25.27,49.46,FALSE,FALSE
2012,Republican Primary,96,Zedler,R,Y,62.85,Leyman,R,N,37.15,25.7,FALSE,FALSE
2012,Republican Primary,97,Goldman,R,N,54.68,Todd,R,N,35.77,18.91,FALSE,FALSE
2012,Republican Primary,98,Capriglione,R,N,55.56,Truitt,R,Y,44.44,11.12,FALSE,FALSE
2012,Republican Primary,106,Fallon,R,N,71.34,Fulton,R,N,28.66,42.68,FALSE,FALSE
2012,Republican Primary,114,Keffer,R,N,47.46,Villalba,R,N,41.15,6.31,FALSE,TRUE
2012,Republican Primary,115,Nguyen,R,N,35.04,Ratliff,R,N,30.07,4.97,TRUE,TRUE
2012,Republican Primary,121,Straus,R,Y,62.92,Beebe,R,N,37.08,25.84,FALSE,FALSE
2012,Republican Primary,127,Huberty,R,Y,90.26,Jordan,R,N,9.74,80.52,FALSE,FALSE
2012,Republican Primary,129,Davis,R,Y,77.46,Huls,R,N,22.54,54.92,FALSE,FALSE
2012,Republican Primary,132,Callegari,R,Y,79.51,Brown,R,N,20.49,59.02,FALSE,FALSE
2012,Republican Primary,133,Murphy,R,Y,61.12,Witt,R,N,38.88,22.24,FALSE,FALSE
2012,Republican Primary,136,Dale,R,N,66.37,Matthews,R,N,33.63,32.74,FALSE,FALSE
2012,Republican Primary,138,Bohac,R,Y,72.51,Smith,R,N,27.49,45.02,FALSE,FALSE
2012,Republican Primary,143,Weiskopf,R,N,61.17,Salazar,R,N,38.83,22.34,FALSE,FALSE
2012,Republican Primary,144,Pineda,R,N,58.25,Pena,R,N,41.75,16.5,FALSE,FALSE
2012,Republican Primary,149,Williams,R,N,52.8,Lee,R,N,34.86,17.94,FALSE,FALSE
2012,Republican Primary,150,Riddle,R,Y,80.86,Wilson,R,N,19.14,61.72,FALSE,FALSE
2012,Republican Runoff,11,Clardy,R,N,51.14,Hopson,R,Y,48.86,2.28,TRUE,TRUE
2012,Republican Runoff,12,Kacal,R,N,50.88,Anderson,R,N,49.12,1.76,TRUE,TRUE
2012,Republican Runoff,23,Faircloth,R,N,56.05,Wallace,R,N,43.95,12.1,FALSE,FALSE
2012,Republican Runoff,24,Bonnen,R,N,57.82,Sitton,R,N,42.18,15.64,FALSE,FALSE
2012,Republican Runoff,26,Miller,R,N,57.81,Chaumette,R,N,42.19,15.62,FALSE,FALSE
2012,Republican Runoff,43,Lozano,R,Y,54.15,Wilson,R,N,45.85,8.3,FALSE,TRUE
2012,Republican Runoff,59,Sheffield,R,N,54.79,Miller,R,Y,45.21,9.58,FALSE,TRUE
2012,Republican Runoff,67,Leach,R,N,53.43,Cole,R,N,46.57,6.86,FALSE,TRUE
2012,Republican Runoff,68,Springer,R,N,56.41,McKnight,R,N,43.59,12.82,FALSE,FALSE
2012,Republican Runoff,88,King,R,N,53.98,Landtroop,R,Y,46.02,7.96,FALSE,TRUE
2012,Republican Runoff,91,Klick,R,N,53.83,Sapp,R,N,46.17,7.66,FALSE,TRUE
2012,Republican Runoff,114,Villalba,R,N,51.77,Keffer,R,N,48.23,3.54,TRUE,TRUE
2012,Republican Runoff,115,Ratliff,R,N,51.93,Nguyen,R,N,48.07,3.86,TRUE,TRUE
2013,House Dist 50,50,VanDeWalle,NA,N,39.16,Israel,NA,N,31.86,7.3,FALSE,TRUE
2014,Democratic Primary,36,Munoz,D,Y,76.56,Regalado,D,N,23.44,53.12,FALSE,FALSE
2014,Democratic Primary,75,Gonzalez,D,Y,68.91,Sepulveda,D,N,31.09,37.82,FALSE,FALSE
2014,Democratic Primary,76,Blanco,D,N,43.69,Chavez,D,N,29.09,14.6,FALSE,FALSE
2014,Democratic Primary,77,Marquez,D,Y,66.41,Ness-Garcia,D,N,33.59,32.82,FALSE,FALSE
2014,Democratic Primary,79,Pickett,D,Y,84.42,Peartree,D,N,15.58,68.84,FALSE,FALSE
2014,Democratic Primary,90,Romero,D,N,51.08,Burnam,D,Y,48.92,2.16,TRUE,TRUE
2014,Democratic Primary,105,Motley,D,N,47.26,Meza,D,N,28.41,18.85,FALSE,FALSE
2014,Democratic Primary,109,Giddings,D,Y,87.66,Gregory,D,N,12.34,75.32,FALSE,FALSE
2014,Democratic Primary,110,Rose,D,Y,57.16,Crenshaw,D,N,42.84,14.32,FALSE,FALSE
2014,Democratic Primary,131,Allen,D,Y,88.67,Okorafor,D,N,11.33,77.34,FALSE,FALSE
2014,Democratic Primary,145,Alvarado,D,Y,85.49,Delgado,D,N,14.51,70.98,FALSE,FALSE
2014,Democratic Runoff,76,Blanco,D,N,68.08,Chavez,D,N,31.92,36.16,FALSE,FALSE
2014,Democratic Runoff,105,Motley,D,N,74.59,Meza,D,N,25.41,49.18,FALSE,FALSE
2014,General,3,Bell,R,Y,91.08,Parr,L,N,8.92,82.16,FALSE,FALSE
2014,General,4,Spitzer,R,N,89.13,Stralow,L,N,10.87,78.26,FALSE,FALSE
2014,General,5,Hughes,R,Y,92.34,Walenta,L,N,7.66,84.68,FALSE,FALSE
2014,General,6,Schaefer,R,Y,87.84,Gardner,L,N,12.16,75.68,FALSE,FALSE
2014,General,8,Cook,R,Y,87.85,Wilford,L,N,12.15,75.7,FALSE,FALSE
2014,General,14,Raney,R,Y,68.08,Metscher,D,N,28.49,39.59,FALSE,FALSE
2014,General,16,Metcalf,R,N,83.79,Hayles,D,N,13.66,70.13,FALSE,FALSE
2014,General,17,Kleinschmidt,R,Y,64.6,Banks,D,N,35.4,29.2,FALSE,FALSE
2014,General,20,Farney,R,Y,73.33,Wyman,D,N,22.73,50.6,FALSE,FALSE
2014,General,21,Phelan,R,N,74.4,Bruney,D,N,25.6,48.8,FALSE,FALSE
2014,General,23,Faircloth,R,N,54.64,Criss,D,N,45.36,9.28,FALSE,TRUE
2014,General,26,Miller,R,Y,69.68,Paaso,D,N,30.32,39.36,FALSE,FALSE
2014,General,27,Reynolds,D,Y,66.98,Hamilton,R,N,33.02,33.96,FALSE,FALSE
2014,General,41,Guerra,D,Y,57.46,Casas,R,N,42.54,14.92,FALSE,FALSE
2014,General,42,Raymond,D,Y,88.44,Serna,G,N,11.56,76.88,FALSE,FALSE
2014,General,43,Lozano,R,Y,61.41,Gonzalez,D,N,38.59,22.82,FALSE,FALSE
2014,General,44,Kuempel,R,Y,75.68,Bohmfalk,D,N,24.32,51.36,FALSE,FALSE
2014,General,45,Isaac,R,Y,72.64,Duke,L,N,27.36,45.28,FALSE,FALSE
2014,General,46,Dukes,D,Y,84.03,Ludlow,L,N,15.97,68.06,FALSE,FALSE
2014,General,47,Workman,R,Y,73.04,McKinlay,L,N,26.96,46.08,FALSE,FALSE
2014,General,48,Howard,D,Y,78.1,Easton,L,N,21.9,56.2,FALSE,FALSE
2014,General,49,Naishtat,D,Y,85.08,Krawisz,L,N,14.92,70.16,FALSE,FALSE
2014,General,50,Israel,D,Y,58.68,VanDeWalle,R,N,37.13,21.55,FALSE,FALSE
2014,General,51,Rodriguez,D,Y,87.36,DiBianca,L,N,12.64,74.72,FALSE,FALSE
2014,General,52,Gonzales,R,Y,56.42,Osborn,D,N,38.53,17.89,FALSE,FALSE
2014,General,53,Murr,R,N,89.91,Martin,L,N,10.09,79.82,FALSE,FALSE
2014,General,56,Anderson,R,Y,83.35,Deuvall,L,N,16.65,66.7,FALSE,FALSE
2014,General,58,Burns,R,N,80.44,Kauffman,D,N,19.56,60.88,FALSE,FALSE
2014,General,61,King,R,Y,83.04,Britt,D,N,16.96,66.08,FALSE,FALSE
2014,General,63,Parker,R,Y,77.34,Moran,D,N,22.66,54.68,FALSE,FALSE
2014,General,64,Crownover,R,Y,63.39,Lyons,D,N,33.77,29.62,FALSE,FALSE
2014,General,65,Simmons,R,Y,64.31,Mendoza,D,N,35.69,28.62,FALSE,FALSE
2014,General,67,Leach,R,Y,78.56,Peavy,L,N,21.44,57.12,FALSE,FALSE
2014,General,76,Blanco,D,N,87.09,Lozano,L,N,12.91,74.18,FALSE,FALSE
2014,General,77,Marquez,D,Y,78.15,Mendoza,I,N,21.85,56.3,FALSE,FALSE
2014,General,80,King,D,Y,89.6,Buentello,G,N,10.4,79.2,FALSE,FALSE
2014,General,81,Landgraf,R,N,99.04,McCulloch,W,N,0.96,98.08,FALSE,FALSE
2014,General,83,Burrows,R,N,81.22,Tarbox,D,N,18.78,62.44,FALSE,FALSE
2014,General,84,Frullo,R,Y,72.71,Tishler,D,N,27.29,45.42,FALSE,FALSE
2014,General,85,Stephenson,R,Y,66.62,Drabek,D,N,33.38,33.24,FALSE,FALSE
2014,General,87,Price,R,Y,84.34,Bosquez,D,N,15.66,68.68,FALSE,FALSE
2014,General,88,King,R,Y,93.18,McKennon,L,N,6.82,86.36,FALSE,FALSE
2014,General,89,Laubenberg,R,Y,71.61,Karmally,D,N,28.39,43.22,FALSE,FALSE
2014,General,91,Klick,R,Y,68.74,Ragan,D,N,28.18,40.56,FALSE,FALSE
2014,General,92,Stickland,R,Y,63.62,Penney,D,N,36.38,27.24,FALSE,FALSE
2014,General,94,Tinderholt,R,N,56.63,Ballweg,D,N,40.49,16.14,FALSE,FALSE
2014,General,95,Collier,D,Y,75.78,McDaniel,R,N,24.22,51.56,FALSE,FALSE
2014,General,96,Zedler,R,Y,80.75,Eaker,L,N,19.25,61.5,FALSE,FALSE
2014,General,97,Goldman,R,Y,81.63,Wingo,L,N,18.37,63.26,FALSE,FALSE
2014,General,100,Johnson,D,Y,89.97,Chapman,L,N,10.03,79.94,FALSE,FALSE
2014,General,101,Turner,D,Y,84.59,Nulsen,L,N,15.41,69.18,FALSE,FALSE
2014,General,102,Koop,R,N,62.49,Clayton,D,N,37.51,24.98,FALSE,FALSE
2014,General,105,Anderson,R,N,55.45,Motley,D,N,42.72,12.73,FALSE,FALSE
2014,General,106,Fallon,R,Y,69.93,Osterholt,D,N,27.53,42.4,FALSE,FALSE
2014,General,107,Sheets,R,Y,55.02,Donovan,D,N,44.98,10.04,FALSE,FALSE
2014,General,108,Meyer,R,N,60.68,Bailey,D,N,39.32,21.36,FALSE,FALSE
2014,General,112,Chen Button,R,Y,81.63,Binkley,L,N,18.37,63.26,FALSE,FALSE
2014,General,113,Burkett,R,Y,59.43,Whitley,D,N,40.57,18.86,FALSE,FALSE
2014,General,114,Villalba,R,Y,81.07,Griffing,L,N,18.93,62.14,FALSE,FALSE
2014,General,115,Rinaldi,R,N,57.11,Stafford,D,N,39.53,17.58,FALSE,FALSE
2014,General,117,Galindo,R,N,52.7,Cortez,D,Y,47.3,5.4,FALSE,TRUE
2014,General,120,McClendon,D,Y,82.28,Villela,L,N,17.72,64.56,FALSE,FALSE
2014,General,121,Straus,R,Y,82.1,Carruthers,L,N,17.9,64.2,FALSE,FALSE
2014,General,122,Larson,R,Y,85.01,Holland,L,N,14.99,70.02,FALSE,FALSE
2014,General,123,Villarreal,D,Y,86.28,Ingmundson,G,N,13.72,72.56,FALSE,FALSE
2014,General,125,Rodriguez,D,Y,76.92,Behrman,L,N,23.08,53.84,FALSE,FALSE
2014,General,126,Harless,R,Y,86.31,Hernandez,L,N,13.69,72.62,FALSE,FALSE
2014,General,128,Smith,R,Y,90.7,Lowder,L,N,9.3,81.4,FALSE,FALSE
2014,General,129,Paul,R,N,67.81,Gay,D,N,32.19,35.62,FALSE,FALSE
2014,General,130,Fletcher,R,Y,90.77,Browning,G,N,9.23,81.54,FALSE,FALSE
2014,General,132,Schofield,R,N,66.12,Lopez,D,N,33.88,32.24,FALSE,FALSE
2014,General,133,Murphy,R,Y,74.6,Nicol,D,N,25.4,49.2,FALSE,FALSE
2014,General,134,Davis,R,Y,61.18,Ruff,D,N,38.82,22.36,FALSE,FALSE
2014,General,135,Elkins,R,Y,65.86,Abbas,D,N,34.14,31.72,FALSE,FALSE
2014,General,136,Dale,R,Y,54.19,Bucy,D,N,41.11,13.08,FALSE,FALSE
2014,General,137,Wu,D,Y,57.86,Fiki,R,N,42.14,15.72,FALSE,FALSE
2014,General,138,Bohac,R,Y,66.78,Vernon,D,N,33.22,33.56,FALSE,FALSE
2014,General,144,Pena,R,N,50.64,Perez,D,Y,49.36,1.28,TRUE,TRUE
2014,General,146,Miles,D,Y,91.87,Bradford,G,N,8.13,83.74,FALSE,FALSE
2014,General,148,Farrar,D,Y,60.29,Carmona,R,N,39.71,20.58,FALSE,FALSE
2014,General,149,Vo,D,Y,54.9,Hoang,R,N,45.1,9.8,FALSE,TRUE
