County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Fort Bend,157,1004,1571004,3612,State Rep 28,Gates,R,N,693
Fort Bend,157,1005,1571005,3613,State Rep 28,Gates,R,N,288
Fort Bend,157,1006,1571006,3614,State Rep 28,Gates,R,N,1427
Fort Bend,157,1008,1571008,3615,State Rep 28,Gates,R,N,122
Fort Bend,157,1014,1571014,3617,State Rep 28,Gates,R,N,808
Fort Bend,157,1019,1571019,3618,State Rep 28,Gates,R,N,194
Fort Bend,157,1038,1571038,3619,State Rep 28,Gates,R,N,653
Fort Bend,157,1054,1571054,3621,State Rep 28,Gates,R,N,42
Fort Bend,157,1057,1571057,3622,State Rep 28,Gates,R,N,485
Fort Bend,157,1103,1571103,3624,State Rep 28,Gates,R,N,0
Fort Bend,157,1122,1571122,3626,State Rep 28,Gates,R,N,736
Fort Bend,157,1130,1571130,3627,State Rep 28,Gates,R,N,558
Fort Bend,157,1132,1571132,3628,State Rep 28,Gates,R,N,641
Fort Bend,157,1133,1571133,3629,State Rep 28,Gates,R,N,676
Fort Bend,157,1142,1571142,3630,State Rep 28,Gates,R,N,549
Fort Bend,157,1143,1571143,3631,State Rep 28,Gates,R,N,1092
Fort Bend,157,1144,1571144,3632,State Rep 28,Gates,R,N,780
Fort Bend,157,1145,1571145,3633,State Rep 28,Gates,R,N,288
Fort Bend,157,1146,1571146,3634,State Rep 28,Gates,R,N,391
Fort Bend,157,1148a,1571148a,3635,State Rep 28,Gates,R,N,1326
Fort Bend,157,1148b,1571148b,3636,State Rep 28,Gates,R,N,0
Fort Bend,157,1149,1571149,3637,State Rep 28,Gates,R,N,1243
Fort Bend,157,1156,1571156,3638,State Rep 28,Gates,R,N,562
Fort Bend,157,1159,1571159,3639,State Rep 28,Gates,R,N,147
Fort Bend,157,1160,1571160,3640,State Rep 28,Gates,R,N,103
Fort Bend,157,1165,1571165,3641,State Rep 28,Gates,R,N,482
Fort Bend,157,3071,1573071,3713,State Rep 28,Gates,R,N,38
Fort Bend,157,3125,1573125,3731,State Rep 28,Gates,R,N,0
Fort Bend,157,3126,1573126,3732,State Rep 28,Gates,R,N,52
Fort Bend,157,3139,1573139,3741,State Rep 28,Gates,R,N,56
Fort Bend,157,3147,1573147,3743,State Rep 28,Gates,R,N,179
Fort Bend,157,3155,1573155,3744,State Rep 28,Gates,R,N,107
Fort Bend,157,3174,1573174,3751,State Rep 28,Gates,R,N,108
Fort Bend,157,4066,1574066,3765,State Rep 28,Gates,R,N,186
Fort Bend,157,4069,1574069,3767,State Rep 28,Gates,R,N,262
Fort Bend,157,4082,1574082,3773,State Rep 28,Gates,R,N,745
Fort Bend,157,4083,1574083,3774,State Rep 28,Gates,R,N,276
Fort Bend,157,4095,1574095,3775,State Rep 28,Gates,R,N,247
Fort Bend,157,4100,1574100,3777,State Rep 28,Gates,R,N,157
Fort Bend,157,4101,1574101,3778,State Rep 28,Gates,R,N,150
Fort Bend,157,4106,1574106,3779,State Rep 28,Gates,R,N,170
Fort Bend,157,4113,1574113,3780,State Rep 28,Gates,R,N,0
Fort Bend,157,4117,1574117,3781,State Rep 28,Gates,R,N,71
Fort Bend,157,4150,1574150,3784,State Rep 28,Gates,R,N,285
Fort Bend,157,4167,1574167,3789,State Rep 28,Gates,R,N,0
Fort Bend,157,4170,1574170,3790,State Rep 28,Gates,R,N,9
Fort Bend,157,4173,1574173,3791,State Rep 28,Gates,R,N,73
Fort Bend,157,1004,1571004,3612,State Rep 28,Markowitz,D,N,324
Fort Bend,157,1005,1571005,3613,State Rep 28,Markowitz,D,N,71
Fort Bend,157,1006,1571006,3614,State Rep 28,Markowitz,D,N,625
Fort Bend,157,1008,1571008,3615,State Rep 28,Markowitz,D,N,40
Fort Bend,157,1014,1571014,3617,State Rep 28,Markowitz,D,N,324
Fort Bend,157,1019,1571019,3618,State Rep 28,Markowitz,D,N,69
Fort Bend,157,1038,1571038,3619,State Rep 28,Markowitz,D,N,447
Fort Bend,157,1054,1571054,3621,State Rep 28,Markowitz,D,N,13
Fort Bend,157,1057,1571057,3622,State Rep 28,Markowitz,D,N,290
Fort Bend,157,1103,1571103,3624,State Rep 28,Markowitz,D,N,0
Fort Bend,157,1122,1571122,3626,State Rep 28,Markowitz,D,N,339
Fort Bend,157,1130,1571130,3627,State Rep 28,Markowitz,D,N,368
Fort Bend,157,1132,1571132,3628,State Rep 28,Markowitz,D,N,450
Fort Bend,157,1133,1571133,3629,State Rep 28,Markowitz,D,N,302
Fort Bend,157,1142,1571142,3630,State Rep 28,Markowitz,D,N,425
Fort Bend,157,1143,1571143,3631,State Rep 28,Markowitz,D,N,872
Fort Bend,157,1144,1571144,3632,State Rep 28,Markowitz,D,N,425
Fort Bend,157,1145,1571145,3633,State Rep 28,Markowitz,D,N,199
Fort Bend,157,1146,1571146,3634,State Rep 28,Markowitz,D,N,348
Fort Bend,157,1148a,1571148a,3635,State Rep 28,Markowitz,D,N,642
Fort Bend,157,1148b,1571148b,3636,State Rep 28,Markowitz,D,N,0
Fort Bend,157,1149,1571149,3637,State Rep 28,Markowitz,D,N,318
Fort Bend,157,1156,1571156,3638,State Rep 28,Markowitz,D,N,167
Fort Bend,157,1159,1571159,3639,State Rep 28,Markowitz,D,N,162
Fort Bend,157,1160,1571160,3640,State Rep 28,Markowitz,D,N,117
Fort Bend,157,1165,1571165,3641,State Rep 28,Markowitz,D,N,122
Fort Bend,157,3071,1573071,3713,State Rep 28,Markowitz,D,N,56
Fort Bend,157,3125,1573125,3731,State Rep 28,Markowitz,D,N,0
Fort Bend,157,3126,1573126,3732,State Rep 28,Markowitz,D,N,87
Fort Bend,157,3139,1573139,3741,State Rep 28,Markowitz,D,N,121
Fort Bend,157,3147,1573147,3743,State Rep 28,Markowitz,D,N,412
Fort Bend,157,3155,1573155,3744,State Rep 28,Markowitz,D,N,235
Fort Bend,157,3174,1573174,3751,State Rep 28,Markowitz,D,N,170
Fort Bend,157,4066,1574066,3765,State Rep 28,Markowitz,D,N,513
Fort Bend,157,4069,1574069,3767,State Rep 28,Markowitz,D,N,386
Fort Bend,157,4082,1574082,3773,State Rep 28,Markowitz,D,N,478
Fort Bend,157,4083,1574083,3774,State Rep 28,Markowitz,D,N,468
Fort Bend,157,4095,1574095,3775,State Rep 28,Markowitz,D,N,248
Fort Bend,157,4100,1574100,3777,State Rep 28,Markowitz,D,N,284
Fort Bend,157,4101,1574101,3778,State Rep 28,Markowitz,D,N,317
Fort Bend,157,4106,1574106,3779,State Rep 28,Markowitz,D,N,449
Fort Bend,157,4113,1574113,3780,State Rep 28,Markowitz,D,N,0
Fort Bend,157,4117,1574117,3781,State Rep 28,Markowitz,D,N,112
Fort Bend,157,4150,1574150,3784,State Rep 28,Markowitz,D,N,683
Fort Bend,157,4167,1574167,3789,State Rep 28,Markowitz,D,N,0
Fort Bend,157,4170,1574170,3790,State Rep 28,Markowitz,D,N,20
