County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Dallas,113,1050,1131050,2032,State Rep 100,Armstrong,D,N,9
Dallas,113,1054,1131054,2035,State Rep 100,Armstrong,D,N,12
Dallas,113,1057,1131057,2038,State Rep 100,Armstrong,D,N,30
Dallas,113,1058,1131058,2039,State Rep 100,Armstrong,D,N,42
Dallas,113,1059,1131059,2040,State Rep 100,Armstrong,D,N,47
Dallas,113,1060,1131060,2041,State Rep 100,Armstrong,D,N,154
Dallas,113,1061,1131061,2042,State Rep 100,Armstrong,D,N,41
Dallas,113,1062,1131062,2043,State Rep 100,Armstrong,D,N,0
Dallas,113,1063,1131063,2044,State Rep 100,Armstrong,D,N,18
Dallas,113,1064,1131064,2045,State Rep 100,Armstrong,D,N,1
Dallas,113,1065,1131065,2046,State Rep 100,Armstrong,D,N,30
Dallas,113,1077,1131077,2050,State Rep 100,Armstrong,D,N,0
Dallas,113,1078,1131078,2051,State Rep 100,Armstrong,D,N,15
Dallas,113,1079,1131079,2052,State Rep 100,Armstrong,D,N,39
Dallas,113,1080,1131080,2053,State Rep 100,Armstrong,D,N,10
Dallas,113,1081,1131081,2054,State Rep 100,Armstrong,D,N,74
Dallas,113,1082,1131082,2055,State Rep 100,Armstrong,D,N,1
Dallas,113,1083,1131083,2056,State Rep 100,Armstrong,D,N,31
Dallas,113,1084,1131084,2057,State Rep 100,Armstrong,D,N,128
Dallas,113,1086,1131086,2059,State Rep 100,Armstrong,D,N,8
Dallas,113,1087,1131087,2060,State Rep 100,Armstrong,D,N,66
Dallas,113,1089,1131089,2062,State Rep 100,Armstrong,D,N,11
Dallas,113,1113,1131113,2085,State Rep 100,Armstrong,D,N,0
Dallas,113,1114,1131114,2086,State Rep 100,Armstrong,D,N,5
Dallas,113,1115,1131115,2087,State Rep 100,Armstrong,D,N,19
Dallas,113,1116,1131116,2088,State Rep 100,Armstrong,D,N,15
Dallas,113,1133,1131133,2094,State Rep 100,Armstrong,D,N,14
Dallas,113,1134,1131134,2095,State Rep 100,Armstrong,D,N,6
Dallas,113,1137,1131137,2098,State Rep 100,Armstrong,D,N,0
